# id	left	top	right	bottom	texture_id
[SPRITES]
####MAIN HUD####
70000	11	127	164	156	23
#Gift box blu
70001	172	127	195	156	23

#Symbol Mario & Lugi
70010	16	161	31	168	23
70011	16	171	31	178	23

#ARROW White & Black
70020	64	162	71	169	23
70021	91	162	98	169	23
#P White & Black
70025	73	162	88	169	23
70026	100	162	115	169	23

####FONT#### 75000
#NUMBER 75100
75100	77	31	84	38	23
75101	88	31	93	38	23
75102	97	31	104	38	23
75103	107	31	114	38	23
75104	117	31	124	38	23
75105	127	31	134	38	23
75106	137	31	144	38	23
75107	147	31	154	38	23
75108	157	31	164	38	23
75109	167	31	174	38	23

#POINT 75200
75201	61	89	71	96	23
75202	75	89	86	96	23
75203	90	89	101	96	23
75204	105	89	116	96	23
75205	120	89	134	96	23
75206	138	89	153	96	23
75207	157	89	172	96	23
75208	176	89	191	96	23
75209	195	89	210	96	23

#PAUSE	75300
75300	159	324	230	339	23

# ani_id 	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
#P changing color (Black, white)
11111	70025	100	70026	100
