# list of object assets to load in this scene
[ASSETS]
mario.txt
coin.txt
misc.txt
brick.txt
mushroom.txt
goomba.txt
koopas.txt
plant.txt
bullet.txt
#
[OBJECTS]
# type	x	y	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas, 4 = coin, 5 = platform, 8 = plant
# See OBJECT_TYPE constants in AssetIDs.h 

# MARIO
0	10	380

#Brick x	y	type(gold =1, question =2)	object(none(0), Supermushroom/leaf (100), coin(101), 1up(102))
1	176	352	2	101
1	192	352	2	101
1	224	304	2	101
1	240	304	2	100
1	656	384	2	100
1	416	320	2	101
1	704	352	2	101
1	1440	128	1	102
#Goomba x	y	type(normal = 1, Red: 2) level(normal: 1, wing: 2)
2	224	380	1	1
2	528	380	1	1
2	832	385	1	1
2	880	385	1	1
2	944	382	2	2
#Koopas x	y	type(red: 10, green: 11) level(normal: 1, wing: 2)
3	577	359	10	1
#Coin
4	1073	320
4	1105	288
4	1137	256
4	1169	224
4	1201	192
4	1329	80
4	1345	80
4	1361	80
4	1473	112
4	1489	112
4	1537	128
4	1553	128
4	1569	128
4	1585	128
4	1617	112
4	1633	112
4	1649	112
4	1665	112
4	1697	144
4	1729	112
4	1761	125
4	1809	96
4	1841	128
#Platform 
#ID	x	y	width	heigth	length	begin	middle	end	type(block: 10, normal: 20, nocollision: 30)
#GROUND
5	8	416	15	15	41	51000	52000	53000	10
5	623	416	15	15	31	53100	53200	53300	10
5	623	400	15	15	31	51000	52000	53000	10
5	1152	416	15	15	23	51000	52000	53000	10
#CLOUD
5	1408	192	16	15	4	54000	54000	54000	20
5	1488	176	16	15	13	54000	54000	54000	20	

#Pink rectangle
5	240	368	16	15	3	46001	46002	46003	20
5	240	384	16	15	3	46004	46005	46006	30
5	240	400	16	15	3	46007	46008	46009	30

#Blu rectangle
5	272	336	16	15	3	46011	46012	46013	20
5	272	352	16	15	3	46014	46015	46016	30
5	272	368	16	15	3	46014	46015	46016	30
5	272	384	16	15	3	46014	46015	46016	30
5	272	400	16	15	3	46017	46018	46019	30
#Green rectangle
5	400	368	16	15	5	46021	46022	46023	20
5	400	384	16	15	5	46024	46025	46026	30
5	400	400	16	15	5	46027	46028	46029	30

5	512	384	16	15	6	46021	46022	46023	20
5	512	400	16	15	6	46027	46028	46029	30
#pink
5	464	336	16	15	4	46001	46002	46003	20
5	464	352	16	15	4	46004	46005	46006	30
5	464	368	16	15	4	46004	46005	46006	30
5	464	384	16	15	4	46004	46005	46006	30
5	464	400	16	15	4	46007	46008	46009	30

5	1312	144	16	15	4	46001	46002	46003	20
5	1312	160	16	15	4	46007	46008	46009	30
#white
5	512	304	16	15	4	46031	46032	46033	20
5	512	320	16	15	4	46034	46035	46036	30
5	512	336	16	15	4	46034	46035	46036	30
5	512	352	16	15	4	46034	46035	46036	30
5	512	368	16	15	4	46034	46035	46036	30
5	512	384	16	15	4	46034	46035	46036	30
5	512	400	16	15	4	46037	46038	46039	30
#Pipe
5	352	368	16	15	2	45001	45002	45002	10
5	352	384	16	15	2	45101	45102	45102	10	
5	352	400	16	15	2	45101	45102	45102	10

##Decoration
#Short trees
5	160	400	16	16	3	61001	61001	61001	30
5	672	384	16	16	6	61001	61001	61001	30
5	1040	384	16	16	2	61001	61001	61001	30
#Tall trees
5	817	384	16	16	2	61100	61101	61101	30
5	945	384	16	16	2	61100	61101	61101	30
5	849	368	16	16	2	61100	61101	61101	30
5	881	368	16	16	2	61100	61101	61101	30
5	977	368	16	16	2	61100	61101	61101	30
5	832	352	16	16	2	61100	61101	61101	30
5	865	352	16	16	2	61100	61101	61101	30
5	913	352	16	16	2	61100	61101	61101	30
5	960	352	16	16	2	61100	61101	61101	30
5	881	336	16	16	2	61100	61101	61101	30
